signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,potentialLoss
TOMOUSDT:LONG:0.8338,"04/29/2023, 02:00:08 PM","04/30/2023, 05:15:00 AM",TOMOUSDT,Binance Futures,LONG,10,0.852,0,3,2,33.045,100,75,24.784,0,24.784,closed,0.859,0.852,0.846,0.84,0.896,0.917,0.943,0.995,1.051,1.103,1.163,1.206,0.834,43.083,68.118,98.277,158.477,223.684,283.768,353.982,404.169,-29.11
KNCUSDT:LONG:0.693,"04/29/2023, 04:00:23 PM","04/30/2023, 09:19:00 PM",KNCUSDT,Binance Futures,LONG,10,0.706,0,4,0,-18.275,100,100,-18.275,0,-18.275,closed,0.714,0.709,0.703,0.698,0.745,0.763,0.784,0.827,0.874,0.916,0.967,1.002,0.693,43.003,68.077,98.193,158.285,223.561,283.653,353.971,404.118,-29.276
RUNEUSDT:SHORT:1.394,"04/30/2023, 04:00:21 AM","06/14/2023, 10:05:00 PM",RUNEUSDT,Binance Futures,SHORT,10,1.369,0,4,8,126.452,100,100,126.452,0,126.452,closed,1.355,1.365,1.374,1.384,1.296,1.263,1.222,1.141,1.053,0.972,0.878,0.81,1.394,43.542,67.897,98.155,157.934,222.878,282.657,352.03,402.214,-28.782
FLOWUSDT:SHORT:0.923,"04/30/2023, 03:00:24 PM","06/10/2023, 06:21:00 AM",FLOWUSDT,Bybit USDT,SHORT,10,0.903,0,3,8,123.047,100,75,92.285,-0,92.285,closed,0.897,0.904,0.91,0.917,0.859,0.836,0.81,0.756,0.698,0.644,0.581,0.537,0.923,42.921,68.004,97.547,157.748,222.408,282.051,352.285,401.895,-28.986
ANTUSDT:LONG:3.204,"04/30/2023, 06:00:19 PM","05/01/2023, 03:38:00 AM",ANTUSDT,Binance Futures,LONG,10,3.263,0,4,0,-18.164,100,100,-18.164,0,-18.164,closed,3.3,3.276,3.251,3.227,3.442,3.525,3.624,3.823,4.038,4.236,4.468,4.633,3.204,43.03,68.182,98.182,158.485,223.636,283.636,353.939,403.939,-29.091
XTZUSDT:LONG:0.995,"04/30/2023, 07:00:11 PM","04/30/2023, 10:12:00 PM",XTZUSDT,Bybit USDT,LONG,10,1.013,0,4,0,-18.183,100,100,-18.183,0,-18.183,closed,1.025,1.017,1.01,1.002,1.069,1.094,1.125,1.187,1.254,1.315,1.387,1.439,0.995,42.927,67.317,97.561,158.049,223.415,282.927,353.171,403.902,-29.268
SFPUSDT:LONG:0.4265,"04/30/2023, 08:00:26 PM","05/01/2023, 03:39:00 AM",SFPUSDT,Bybit USDT,LONG,10,0.434,0,4,0,-18.117,100,100,-18.117,0,-18.117,closed,0.439,0.436,0.433,0.43,0.458,0.469,0.482,0.509,0.538,0.564,0.595,0.617,0.427,43.023,68.063,98.111,158.206,223.537,283.633,353.972,404.052,-29.137
BTCDOMUSDT:LONG:1590,"05/06/2023, 06:00:13 AM","05/31/2023, 04:28:00 PM",BTCDOMUSDT,Binance Futures,LONG,10,1619.488,0,4,0,-18.208,100,100,-18.208,0,-18.208,closed,1637.7,1625.633,1613.567,1601.5,1708.3,1749.3,1798.6,1897.2,2003.9,2102.5,2217.5,2299.6,1590,43.109,68.144,98.248,158.454,223.606,283.813,354.033,404.164,-29.126
1000FLOKIUSDT:LONG:0.03496,"05/08/2023, 06:00:06 PM","05/08/2023, 07:21:00 PM",1000FLOKIUSDT,Bybit USDT,LONG,10,0.036,0,4,0,-18.184,100,100,-18.184,0,-18.184,closed,0.036,0.036,0.035,0.035,0.038,0.038,0.04,0.042,0.044,0.046,0.049,0.051,0.035,43.044,68.037,98.306,158.289,223.549,283.81,354.068,404.054,-29.159
TOMOUSDT:LONG:0.803,"05/09/2023, 06:00:19 PM","05/23/2023, 05:24:00 AM",TOMOUSDT,Bybit USDT,LONG,10,0.824,0,2,8,121.293,100,50,60.647,-0,60.647,closed,0.828,0.821,0.815,0.809,0.863,0.884,0.909,0.959,1.013,1.062,1.121,1.162,0.803,42.9,67.674,97.885,158.308,223.565,283.384,354.079,404.23,-29.607
LQTYUSDT:LONG:1.166,"05/14/2023, 07:00:16 AM","05/31/2023, 10:20:00 AM",LQTYUSDT,Bybit USDT,LONG,10,1.188,0,4,4,63.572,100,100,63.572,0,63.572,closed,1.202,1.193,1.184,1.175,1.253,1.283,1.319,1.392,1.47,1.542,1.627,1.687,1.166,42.863,67.832,97.794,158.136,223.471,283.396,353.725,404.078,-29.546
